
2023-11-30 15:17:14,1,"Please could you send more water to our camp, weather is hotter than anticipated.","1, 1, 0, 1, 0"
2023-11-30 15:17:48,2,Good news! A local charity service delivered blankets an hour ago. We just distributed these to our refugees!,"1, 0, 0, 1, 0"
2023-12-01 10:20:00,3,Medical Aid Needed! We have an endemic gasto-enteretis going around seeking medical resources and personnel!,"1, 0, 1, 0, 0"
2023-12-01 10:21:41,4,A refugee family is asking if we could provide a book of prayer. Seems very important to them. Is this a possibility?,"1, 0, 0, 1, 0"
2023-12-01 10:22:58,5,What is the SOP for a flood?,"0, 1, 1, 0, 0"
2023-12-09 12:11:02,1,help.,"""1, 0, 1, 0, 0"""
2023-12-09 12:12:07,1,safd,"""1, 0, 0, 1, 0"""
2023-12-09 12:12:27,1,good weather,"""0, 1, 0, 0, 0"""
2023-12-09 12:13:47,2,no more resources,"""1, 0, 0, 0, 0"""
2023-12-09 12:27:21,5,User 'volunteer8' changed camp from 2 to 5.,"0, 0, 0, 0, 1"
2023-12-09 12:27:37,5,i just changed my camp lol,"""0, 0, 0, 0, 1"""
2023-12-09 12:35:36,1,User '8' 'qqq' 'qqq' changed camp from 5 to 1.,"0, 0, 0, 0, 1"
2023-12-09 12:38:07,2,User_id '8' First name: 'qqq' Last name: 'qqq' changed camp from 1 to 2.,"0, 0, 0, 0, 1"
2023-12-09 12:38:16,3,User_id '8' First name: 'qqq' Last name: 'qqq' changed camp from 2 to 3.,"0, 0, 0, 0, 1"
2023-12-09 12:41:40,13,User_id '8' First name: 'qqq' Last name: 'qqq' changed camp from 3 to 13.,"0, 0, 0, 0, 1"
2023-12-09 14:03:58,12,User_id '8' First name: 'qqq' Last name: 'qqq' changed camp from 13 to 12.,"0, 0, 0, 0, 1"
2023-12-09 14:24:20,1,User_id '8' First name: 'qqq' Last name: 'qqq' changed camp from 12 to 1.,"0, 0, 0, 0, 1"
2023-12-09 14:43:23,1,User_id '23' First name: 'Gaoren' Last name: 'Hao' changed camp from None to 1.,"0, 0, 0, 0, 1"
2023-12-09 17:41:30,37,User_id '22' First name: 'Nathan' Last name: 'Hill' changed camp from None to 37.,"0, 0, 0, 0, 1"
2023-12-09 17:41:56,38,User_id '22' First name: 'Nathan' Last name: 'Hill' changed camp from 37 to 38.,"0, 0, 0, 0, 1"
2023-12-09 17:43:24,38,User_id '22' First name: 'Nathan' Last name: 'Hill' changed camp from 37 to 38.,"0, 0, 0, 0, 1"
2023-12-09 17:45:07,38,User_id '23' First name: 'Gaoren' Last name: 'Hao' changed camp from 1 to 38.,"0, 0, 0, 0, 1"
2023-12-09 17:45:27,37,User_id '23' First name: 'Gaoren' Last name: 'Hao' changed camp from 38 to 37.,"0, 0, 0, 0, 1"
2023-12-09 17:47:10,37,User_id '23' First name: 'Gaoren' Last name: 'Hao' changed camp from None to 37.,"0, 0, 0, 0, 1"
2023-12-09 17:48:19,38,User_id '23' First name: 'Gaoren' Last name: 'Hao' changed camp from 37 to 38.,"0, 0, 0, 0, 1"
2023-12-09 17:49:01,1,User_id '23' First name: 'Gaoren' Last name: 'Hao' changed camp from 37 to 1.,"0, 0, 0, 0, 1"
2023-12-09 17:49:10,2,User_id '23' First name: 'Gaoren' Last name: 'Hao' changed camp from 1 to 2.,"0, 0, 0, 0, 1"
2023-12-09 17:56:00,2,User_id '8' First name: 'qqq' Last name: 'qqq' changed camp from 2 to 2.,"0, 0, 0, 0, 1"
2023-12-09 17:59:06,3,User_id '8' First name: 'qqq' Last name: 'qqq' changed camp from 2 to 3.,"0, 0, 0, 0, 1"
2023-12-09 17:59:40,4,User_id '8' First name: 'qqq' Last name: 'qqq' changed camp from 3 to 4.,"0, 0, 0, 0, 1"
2023-12-09 18:06:59,23,User_id '8' First name: 'qqq' Last name: 'qqq' changed camp from 3 to 23.,"0, 0, 0, 0, 1"
2023-12-09 18:08:05,22,User_id '8' First name: 'qqq' Last name: 'qqq' changed camp from 3 to 22.,"0, 0, 0, 0, 1"
2023-12-09 18:08:10,23,User_id '8' First name: 'qqq' Last name: 'qqq' changed camp from 22 to 23.,"0, 0, 0, 0, 1"
2023-12-09 18:08:30,1,User_id '8' First name: 'qqq' Last name: 'qqq' changed camp from 23 to 1.,"0, 0, 0, 0, 1"
2023-12-09 18:09:16,2,User_id '8' First name: 'qqq' Last name: 'qqq' changed camp from None to 2.,"0, 0, 0, 0, 1"
2023-12-09 18:09:26,3,User_id '8' First name: 'qqq' Last name: 'qqq' changed camp from 2 to 3.,"0, 0, 0, 0, 1"
